idregion,iddistrict,idcouncil,idchiefdom,idsection,idtown
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MOKERA,MAKALI (RIBBI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MOTONI,GBASSATY (RIBBI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MOTONI,MOTONI (RIBBI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,YONI,MOBENU (RIBBI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,UPPER RIBBI,KOBANKA JUNCTION (RIBBI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MOBUREH,MOKASSIE (RIBBI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,YONI,NORKOSS (RIBBI)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAMBOLO,MAMBOLO,MAMBOLO
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAMBOLO,ROWOLLON,MACOTH (MAMBOLO)
SOUTHERN,BO,BO CITY,BO TOWN,BUNUMBU PRESS COMPOUND NEW GERIHUN ROAD,NEW GERIHUN ROAD (BO TOWN)
EASTERN,KONO,KONO DISTRICT,TANKORO,WOAFEH,KORYADU (TANKORO)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MATOTOKA,MASAKA (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MATOTOKA,MAYINTO (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MATOTOKA,MABAMP (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MATOTOKA,MASERA KOMEH (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MATOTOKA,MAKALI JUNCTION (TANE)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,SOWA,SABBA 1,UPPPER SEMBEH (SOWA)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,ALLEN TOWN,FURNITURE JUNCTION (EAST III)
EASTERN,KONO,KONO DISTRICT,FIAMA,KOOMA,TAAMA (FIAMA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,GAO,JENGBELLU (LUAWA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,MALEMA,LOWER SAMIE,TANINAWAHUN (MALEMA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MAMAILA,FOINDU,FOINDU (YONI MAMAILA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MAMAILA,FOINDU,ROWAI-WAI (YONI MAMAILA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MAMAILA,FOINDU,MAKOLAYINA (YONI MAMAILA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MAMAILA,FOINDU,MAFALLAH 2 (YONI MAMAILA)
EASTERN,KONO,KONO DISTRICT,LEI,TANKORO,SENEHUN (LEI)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MAMAILA,FOINDU,MAYORGBOR (YONI MAMAILA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MAMAILA,FOINDU,KONDOBIE (YONI MAMAILA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MAMAILA,FOINDU,ROMAKA (YONI MAMAILA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,MALEMA,LOWER SAMIE,JAAMA (MALEMA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,LOKOMASAMA,PATIFU,PATIFU JUNCTION (LOKOMASAMA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,LOKOMASAMA,KOMRABAI,KOMRABAI (LOKOMASAMA)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,TANKORO,YOMANDU NEW SITE (KOIDU CITY)
EASTERN,KONO,KONO DISTRICT,FIAMA,KOOMA,GBEMATAMBADU (FIAMA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,NJALUAHUN,SEI II,TONDOLA (NJALUAHUN)
EASTERN,KONO,KONO DISTRICT,LEI,TANKORO,KISSY TOWN (LEI)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,LAL LENKEN,MAGBURAKA/ROWALLA (KHOLIFA ROWALA)
NORTHERN,BOMBALI,BOMBALI DISTRICT,GBANTI,MABAMTA SECTION,MAFONIKAY (GBANTI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KAMASONDO,KANTHAYA,SHEKUYA (KAMASONDO)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KAMASONDO,BENKIA,DARE SALAAM (KAMASONDO)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KAMASONDO,BENKIA,MAPELA (KAMASONDO)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KAMASONDO,BENKIA,WORRY MAPLA (KAMASONDO)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KAMASONDO,KAMASONDO,LUNGI LOL (KAMASONDO)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,BUREH,MAKANAH,SIMBECK (BUREH)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,BUREH,KALANGBA,ROKUPR WOSIE (BUREH)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,BUREH,KALANGBA,MALAL THOTHOR (BUREH)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,SENGBE,HERENAKONO,GBENIKORO (SENGBE)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,MALAMBAY,MALAMBAY (KOYA RURAL)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,Matainkay Road,Matainkay Road (KOYA RURAL)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KPEJE WEST,KPEJE FOIYIA,KIGBAI (KPEJE WEST)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KPEJE WEST,KPINDIMA,JOKIBU (KPEJE WEST)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KPEJE WEST,KPAIWA,PEJEWA (KPEJE WEST)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KPEJE WEST,KPINDIMA,KONDIBU (KPEJE WEST)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KPEJE WEST,NGOLAMA,MADINA (KPEJE WEST)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KPEJE WEST,NGOLAMA,BAOMA PEJE (KPEJE WEST)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KPEJE WEST,KIMAYA,BUNUMBU III (KPEJE WEST)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAFORKI,MASABAY,MAGBAINGBIRA (MAFORKI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAFORKI,MAPOLIE,MAMAI KANU (MAFORKI)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KPEJE WEST,KIMAYA,BUNUMBU II (KPEJE WEST)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAFORKI,GBONKO MAYERAH,PITIFU (MAFORKI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAFORKI,MABONI,MAGBATEH (MAFORKI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAFORKI,MAKOROBOLAI,MAKABA (MAFORKI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAFORKI,MAKOROBOLAI,MABONDO (MAFORKI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAFORKI,MAKOROBOLAI,MAKOROBOLAI (MAFORKI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAFORKI,MABONI,MOBINIE (MAFORKI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAFORKI,MABONI,MABNIE (MAFORKI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAFORKI,MAPOLIE,MAPOLIE (MAFORKI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAFORKI,GBERAY BANA,GBERAY BANA (MAFORKI)
NORTHERN,BOMBALI,BOMBALI DISTRICT,SAFROKO LIMBA,BINKOLO,MABONKANI (SAFROKO LIMBA)
NORTHERN,BOMBALI,BOMBALI DISTRICT,SAFROKO LIMBA,BINKOLO,KABONKA (SAFROKO LIMBA)
NORTHERN,BOMBALI,BOMBALI DISTRICT,MAKARI,MAGBENTEH,MAGBENTEH (MAKARI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAFORKI,GBARRAY MORIE,ROTIFUNK (MAFORKI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAFORKI,MARUNIA,MAFOIMARA (MAFORKI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAFORKI,MATHERAI,BABARA (MAFORKI)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,ALLEN TOWN,KIOSK (EAST III)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,DEA,SIENGA,BAOMA (DEA)
SOUTHERN,BO,BO DISTRICT,KAKUA,NGUABU,GBANAHUN (KAKUA)
SOUTHERN,BO,BO DISTRICT,KAKUA,NGUABU,KPETEMA (KAKUA)
SOUTHERN,BO,BO DISTRICT,KAKUA,NGUABU,FULAWAHUN (KAKUA)
SOUTHERN,BO,BO DISTRICT,KAKUA,SAMAMIE,KPANGUMA (KAKUA)
SOUTHERN,BO,BO DISTRICT,KAKUA,NGUABU,GAMBIA (KAKUA)
SOUTHERN,BO,BO DISTRICT,KAKUA,SAMAMIE,PINDEGUMAHUN (KAKUA)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,SIMBECK,BARYOH STREET (KENEMA CITY)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,DEA,SAKIEMA,SAKIEMA (DEA)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,MOIWULEH STREET (KENEMA CITY)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,FATMATA STREET (KENEMA CITY)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,MISSION ROAD (KENEMA CITY)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,CENTRAL II,MAROON TOWN,PERCIVAL STREET (CENTRAL II)
NORTHERN,BOMBALI,BOMBALI DISTRICT,MAKARI,MANGE,MANGE LOKO (MAKARI)
NORTHERN,BOMBALI,BOMBALI DISTRICT,BIRIWA,KARASA SECTION,KANIKAY (BIRIWA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KASSEH,ROMENI,ROMENI (KASSEH)
NORTHERN,BOMBALI,BOMBALI DISTRICT,BIRIWA,BALLANDUGU,BONOYA (BIRIWA)
EASTERN,KENEMA,KENEMA DISTRICT,GORAMA MENDE,KUALLAY,NGIEGBOINYA (GORAMA MENDE)
EASTERN,KENEMA,KENEMA DISTRICT,GORAMA MENDE,KUALLAY,TUNGIE (GORAMA MENDE)
EASTERN,KENEMA,KENEMA DISTRICT,GORAMA MENDE,KUALLAY,BADJAH (GORAMA MENDE)
NORTHERN,BOMBALI,MAKENI CITY,MAKENI CITY,ROGBANA SECTION,FULLAH TOWN (MAKENI CITY)
EASTERN,KENEMA,KENEMA DISTRICT,GORAMA MENDE,KUALLAY,NYANDAHUN (GORAMA MENDE)
EASTERN,KENEMA,KENEMA DISTRICT,GORAMA MENDE,BIATONG,GBONDOMA (GORAMA MENDE)
EASTERN,KENEMA,KENEMA DISTRICT,GORAMA MENDE,BIATONG,GBANGEIMA (GORAMA MENDE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SAMBAYA,BUYAN,KONKOROBAIA (SAMBAYA)
EASTERN,KENEMA,KENEMA DISTRICT,GORAMA MENDE,KUALLAY,GODAMA (GORAMA MENDE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SAMBAYA,BUYAN,DANDAYIA (SAMBAYA)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,TORKPUMBU,SECOND STREET (KENEMA CITY)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SAMBAYA,BUYAN,MAGBASSA (SAMBAYA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SAMBAYA,BUYAN,DANKAWALIA (SAMBAYA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SAMBAYA,BOROWA,SUMBUYA (SAMBAYA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SAMBAYA,BOROWA,MORGBEYA (SAMBAYA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SAMBAYA,BOROWA,NAFAGAI (SAMBAYA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SAMBAYA,BOROWA,WASIMA (SAMBAYA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SAMBAYA,BOROWA,KUNYA (SAMBAYA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SAMBAYA,BOROWA,KASAFONI (SAMBAYA)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,WEST II,CONGO CROSS,CONGO CROSS (WEST II)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MABANG,ROKANKRR,ROKANKRR (KHOLIFA MABANG)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MABANG,MABANG,ROTHAMBAI (KHOLIFA MABANG)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MABANG,MARUNIA KORAY,MAGBONDO (KHOLIFA MABANG)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MABANG,MARUNIA KORAY,MABAI (KHOLIFA MABANG)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,WEST II,TENGBEH TOWN,FREETOWN (WEST II)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MABANG,MARUNIA SAKIE,MAGBORKIE (KHOLIFA MABANG)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,GAO,GONDAMA (LUAWA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,GAO,SENGEMA (LUAWA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,GAO,GBATORMA (LUAWA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,LOWER KPOMBALI,NGIEMA (LUAWA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,LUAWA FOIYAH,BANDAJUMA SINNEH (LUAWA)
SOUTHERN,BO,BO DISTRICT,LUGBU,GAO,UPPER SAAMA BONTIWO (LUGBU)
SOUTHERN,BO,BO DISTRICT,LUGBU,YORMA SECTION,KPETEWOMA LUGBU TOWN (LUGBU)
SOUTHERN,BO,BO DISTRICT,LUGBU,YORMA SECTION,KPETEWOMA TOWN (LUGBU)
SOUTHERN,BO,BO DISTRICT,LUGBU,YORMA SECTION,BANGORMA LUGBU TOWN (LUGBU)
SOUTHERN,BO,BO DISTRICT,LUGBU,GAO,KUADIMA (LUGBU)
SOUTHERN,BO,BO DISTRICT,LUGBU,GAO,FAAMA (LUGBU)
SOUTHERN,BO,BO DISTRICT,LUGBU,NGAO,UPPER  SAMMA (LUGBU)
SOUTHERN,BO,BO DISTRICT,BAGBO,TISSANA,MOMAJOE (BAGBO)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,GAO,GBEWORBU GAO (LUAWA)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST I,KAMPALA,KAMPALA (EAST I)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST I,KAMPALA,FOURAH BAY ROAD (EAST I)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,DIANG,KONGBLAFEH,N'YANWULIA (DIANG)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MAMAILA,GAINDEMA SECTION,MASETHEH (YONI MAMAILA)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,KASUNKO KAKELLIAN,KAKELLIAN,MAKAMAUA (KASUNKO KAKELLIAN)
EASTERN,KONO,KONO DISTRICT,TANKORO,TANKORO,DIWADU (TANKORO)
EASTERN,KONO,KONO DISTRICT,TANKORO,WOAFEH,NEW MEIMA (TANKORO)
EASTERN,KONO,KONO DISTRICT,TANKORO,TANKORO,MOYIMA (TANKORO)
EASTERN,KONO,KONO DISTRICT,TANKORO,WOAFEH,WOAMA (TANKORO)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,MABUREH,MABUREH (WATERLOO RURAL)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,MORABIE,JOY TOWN (KOYA RURAL)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,WATERLOO,CAMPBELL (WATERLOO RURAL)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,MORABIE,Tabitha Drive Morabie Waterloo (WATERLOO RURAL)
NORTHERN,BOMBALI,MAKENI CITY,MAKENI CITY,WUSUM,RENKA STREET MAKENI (MAKENI CITY)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YELE,MANOWO SECTION,MAKOYA (YELE)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,WELLINGTON,OFF UPPER MELLON STREET (EAST III)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,WELLINGTON,MELLON STREET (EAST III)
NORTH WESTERN,KARENE,KARENE DISTRICT,SANDA TENDARAN,ROGBOREH,ROSANA (SANDA TENDARAN)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,KALIAN,YOMBOFEH,YORIA (KALIAN)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,FOREDUGU,MAFINTHA (KOYA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,FORADUGU,ROPATH (KOYA)
NORTHERN,BOMBALI,BOMBALI DISTRICT,BIRIWA,KAMABAI,KAGBANEH (BIRIWA)
NORTHERN,BOMBALI,BOMBALI DISTRICT,BIRIWA,KAMABAI,KATHANTHA (BIRIWA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,LOKOMASAMA,URIKA,BOMPA (LOKOMASAMA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,FOREDUGU,LAYAH (KOYA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,LUAWA FOIYAH,SANDEYA (LUAWA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,LUAWA FOIYAH,NGEVOLU (LUAWA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,LUAWA FOIYAH,KEMBETAHUN (LUAWA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,LUAWA FOIYAH,KENEWA (LUAWA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,LUAWA FOIYAH,NAMIEMA (LUAWA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,LUAWA FOIYAH,YANDOWAHUN (LUAWA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,LUAWA FOIYAH,BAYAMA PEWAMA (LUAWA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KASSEH,BARMOI,GBONKO MAFORAY (KASSEH)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,DIANG,KONGBLAFEH,KOMONKALIA (DIANG)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,LOKOMASAMA,URIKA,SANKOYA (LOKOMASAMA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,FAKUNYA,TANGULA,MOCONTEH (FAKUNYA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,FAKUNYA,TANGULA,GORIE (FAKUNYA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,FAKUNYA,KPANGULGO,ROTAWA (FAKUNYA)
